,descricao,objeto
0,"Redação Final assinada pelo Relator, Dep. Márcio Labre (PL-RJ).",Redação Final
1,Emenda de Redação nº 1.,Emenda
2,"Projeto de Lei Complementar nº 49, de 2022",Projeto de Lei
3,"Redação Final assinada pelo Relator, Dep. Ricardo Izar (Republicanos-SP).",Redação Final
4,"Substitutivo ao Projeto de Lei nº 1.070, de 2021, da Comissão de Meio Ambiente e Desenvolvimento Sustentável.",Projeto de Lei
5,"Redação Final assinada pelo Relator, Dep. Fred Costa (Patriota-MG).",Redação Final
6,"Substitutivo do Senado Federal ao Projeto de Lei nº 1.984-A, de 2021.",Projeto de Lei
7,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
8,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
9,"Redação Final assinada pelo Relator, Dep. João Maia (PL-RN).",Redação Final
10,Emenda de Redação n° 1.,Emenda
11,"Subemenda Substitutiva Global ao Projeto de Lei nº 4.188, de 2021, adotada pelo Relator da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques",Subemenda Substitutiva
12,"Redação Final assinada pelo Relator, Dep. Vinícius Carvalho (Republicanos-SP).",Redação Final
13,"Medida Provisória nº 1.100, de 2022",Medida Provisória
14,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
15,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
16,"Redação Final assinada pelo Relator, Dep. Felipe Carreras (PSB-PE).",Redação Final
17,"Medida Provisória nº 1.101 de 2022, na forma do Projeto de Lei de Conversão, ressalvado o destaque",Medida Provisória
18,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
19,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
20,Requerimento de Urgência (Art. 155 do RICD),Requerimento
21,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
22,"Redação Final assinada pelo Relator, Dep. Isnaldo Bulhões Jr. (MDB-AL).",Redação Final
23,Emendas do Senado Federal nºs 1 a 15 à Medida Provisória,Emenda
24,"Redação Final assinada pelo Relator, Dep. Alex Manente (Cidadania-SP).",Redação Final
25,"Emenda do Senado Federal nº 4 ao Projeto de Lei de Conversão, ressalvados os destaques.",Emenda
26,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
27,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
28,"querimento n. 384/2022 do Sr. Altineu Côrtes que requer a Vossa Excelência, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, URGÊNCIA para apreciação do PL 4.000/2021, que ""Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para tornar exigível, em condomínios edilícios, a aprovação de 2/3 (dois terços) dos votos dos condôminos para a mudança da destinação do edifício ou da unidade imobiliária "".",Requerimento
29,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
30,"Redação Final, assinada pelo Relator, Dep. Camilo Capiberibe (PSB-AP).",Redação Final
31,"Projeto de Decreto Legislativo nº 1.100, de 2018.",Projeto de Decreto Legislativo
32,"Redação Final assinada pela Relatora, Dep. Leandre (PSD-PR).",Redação Final
33,"Substitutivo ao Projeto de Resolução nº 79, de 2020, adotado pela Relatora da Mesa Diretora da Câmara dos Deputados.",Outros
34,"Projeto de Lei nº 543, de 2022.",Projeto de Lei
35,"Redação Final assinada pelo Relator, Dep. Elmar Nascimento (União-BA).",Redação Final
36,Emenda de Redação n° 1,Emenda
37,"Substitutivo adotado pelo Relator da Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 18, de 2022.",Projeto de Lei
38,Requerimento de Urgência (Art. 155 do RICD),Requerimento
39,"Redação Final assinada pelo Relator, Dep. Altineu Côrtes (PL-RJ).",Redação Final
40,"Medida Provisória nº 1.093, de 2021",Medida Provisória
41,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
42,"Redação Final assinada pelo Relator, Dep. Greyce Elias (Avante-MG).",Redação Final
43,"Medida Provisória nº 1.091, de 2021, ressalvados destaques",Medida Provisória
44,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
45,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
46,"Redação Final assinada pelo Relator, Dep. General Peternelli (União-SP).",Redação Final
47,Emenda do Senado Federal n° 2,Emenda
48,Emenda de Senado Federal n° 1,Emenda
49,Emendas do Senado Federal nºs 1 e 2 ao Projeto de Lei de Conversão.,Emenda
50,Requerimento de Urgência (Art. 155 do RICD),Requerimento
51,"Redação Final assinada pelo Relator, Dep. Darci de Matos (PSD-SC).",Redação Final
52,"Medida Provisória nº 1.098, de 2022.",Medida Provisória
53,"Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
54,"Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
55,Requerimento.,Requerimento
56,"Redação Final assinada pelo Relator, Dep. Felício Laterça (PP-RJ).",Redação Final
57,"Medida Provisória nº 1.096, de 2022.",Medida Provisória
58,"Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
59,"Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
60,"Redação Final assinada pelo Relator, Dep. Capitão Alberto Neto (PL-AM).",Redação Final
61,"Medida Provisória nº 1.087, de 2021.",Medida Provisória
62,"Parecer da Comissão Mista  de Planos, Orçamentos Públicos e Fiscalização do Congresso Nacional, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
63,"Redação Final assinada pela Relatora, Dep. Luisa Canziani (PSD-PR).",Redação Final
64,Requerimento.,Requerimento
65,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
66,"Redação Final assinada pelo Relator, Dep. Igor Timo (Podemos-MG).",Redação Final
67,Requerimento.,Requerimento
68,"Medida Provisória nº 1.092, de 2021.",Medida Provisória
69,"Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
70,"Redação Final assinada pelo Relator, Dep. Fred Costa (Patriotas-MG).",Redação Final
71,"Medida Provisória nº 1.097, de 2022.",Medida Provisória
72,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
73,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
74,"Subemenda Substitutiva Global ao Projeto de Lei nº 3.179, de 2012, adotada pela Relatora da Comissão Especial, ressalvados os destaques",Subemenda Substitutiva
75,Requerimento,Requerimento
76,Requerimento de Urgência (Art. 155 do RICD),Requerimento
77,"Redação Final assinada pelo Relator, Dep. Hugo Motta (Republicanos-PB).",Redação Final
78,Emenda de Comissão nº 48,Emenda
79,"Subemenda Substitutiva Global ao Projeto de Lei de Conversão, adotada pelo Relator da Comissão Mista, ressalvados os destaques",Subemenda Substitutiva
80,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
81,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
82,"Redação Final assinada pelo Relator, Dep. Alex Manente (Cidadania-SP).",Redação Final
83,"Medida Provisória nº 1.095 de 2021, na forma do Projeto de Lei de Conversão, ressalvados os destaques",Medida Provisória
84,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
85,"Redação Final assinada pela Relatora, Dep. Paula Belmonte (Cidadania-DF).",Redação Final
86,"Projeto de Lei nº 3.931, de 2021.",Projeto de Lei
87,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
88,"Redação Final, assinada pelo Relator, Dep. Enrico Misasi (MDB-SP).",Redação Final
89,"Projeto de Decreto Legislativo nº 1.052, de 2018.",Projeto de Decreto Legislativo
90,"Redação Final, assinada pelo Relator, Dep. Paulo Abi-Ackel (PSDB-MG).",Redação Final
91,"Projeto de Decreto Legislativo nº 850, de 2017.",Projeto de Decreto Legislativo
92,"Redação Final assinada pelo Relator, Dep. Jefferson Campos (PL-SP).",Redação Final
93,"Projeto de Lei nº 2.832, de 2021.",Projeto de Lei
94,"Redação Final assinada pela Relatora, Dep. Tereza Nelma (PSD-AL).",Redação Final
95,"Projeto de Lei nº 3.930, de 2021.",Projeto de Lei
96,"Redação Final assinada pela Relatora, Dep. Aline Gurgel (Republicanos/AP).",Redação Final
97,"Substitutivo ao Projeto de Lei nº 499, de 2022, adotado pela relatora da Comissão de Seguridade Social e Família.",Projeto de Lei
98,"Redação Final assinada pela Relatora, Dep. Rosana Valle (PL-SP).",Redação Final
99,"Projeto de Lei nº 1.795, de 2021.",Projeto de Lei
100,Requerimento de urgência.,Requerimento
101,"Redação Final assinada pela Relatora, Dep. Bia Kicis (PL-DF).",Redação Final
102,"Medida Provisória nº 1.099 de 2022, na forma do Projeto de Lei de Conversão, ressalvados os destaques",Medida Provisória
103,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
104,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
105,Requerimento de Urgência (Art. 155 do RICD),Requerimento
106,"Redação Final assinada pelo Relator, Dep. Aluisio Mendes (PSC-MA).",Redação Final
107,"Medida Provisória nº 1.080 de 2021, na forma do Projeto de Lei de Conversão, ressalvados os destaques.",Medida Provisória
108,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
109,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
110,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
111,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
112,"Redação Final assinada pela Relatora, Dep. Professora Dorinha Seabra Rezende (União-TO).",Redação Final
113,"Substitutivo ao Projeto de Lei nº 11.147, de 2018, adotado pela Relatora da Comissão dos Direitos das Pessoas com Deficiência.",Projeto de Lei
114,"Redação Final assinada pela Relatora, Dep. Bia Kicis (PL-DF).",Redação Final
115,"Medida Provisória nº 1.082, de 2021.",Medida Provisória
116,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
117,"Redação Final assinada pelo Relator, Dep. Eduardo Cury (PSDB-SP).",Redação Final
118,"Subemenda Substitutiva Global ao Projeto de Lei nº 8.518, de 2017, adotada pelo Relator da Comissão de Ciência e Tecnologia, Comunicação e Informática, ressalvado o destaque.",Subemenda Substitutiva
119,"Redação Final assinada pela Relatora, Dep. Soraya Manato (PTB-ES).",Redação Final
120,"Medida Provisória nº 1.083, de 2021.",Medida Provisória
121,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
122,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
123,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
124,"querimento n. 297/2022 do Sr. Vinicius Carvalho que requer urgência para o Projeto de Lei nº 610, de 2021, que “institui a Campanha Nacional de Incentivo à doação de cabelo a Pessoas Carentes em Tratamento de Câncer”",Requerimento
125,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
126,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
127,Requerimento.,Requerimento
128,"Redação Final assinada pelo Relator, Dep. Isnaldo Bulhões Jr. (MDB-AL).",Redação Final
129,"Medida Provisória nº 1.085 de 2021, ressalvados os destaques",Medida Provisória
130,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
131,"Redação Final assinada pelo relator, Dep. Celina Leão (PP-DF).",Redação Final
132,"Submenda Substitutiva Global ao Projeto de Lei nº 7.922, de 2014, adotada pela relatora da Comissão de Trabalho, de Administração e Serviço Público",Subemenda Substitutiva
133,"Redação Final assinada pelo Relator, Dep. Carlos Chiodini (MDB-SC).",Redação Final
134,"Medida Provisória nº 1.079 de 2021, na forma do Projeto de Lei de Conversão, ressalvado o destaque.",Medida Provisória
135,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
136,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
137,"Projeto de Lei 2.564, de 2020, ressalvado o destaque",Projeto de Lei
138,"Redação Final assinada pelo Relator, Dep. Felipe Carreras (PSB-PE).",Redação Final
139,"Medida Provisória nº 1.094 de 2021, na forma do Projeto de Lei de Conversão, ressalvados os destaques",Medida Provisória
140,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
141,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
142,Requerimento de Urgência (Art. 155 do RICD),Requerimento
143,Requerimento de Urgência (Art. 155 do RICD),Requerimento
144,"Redação Final assinada pela Relatora, Dep. Carmen Zanotto (Cidadania-SC).",Redação Final
145,"Emendas do Senado Federal nºs 1, 2, 4, 7, 8, 10, 11, 12, 13, 15 e 16.",Emenda
146,"querimento n. 613/2022 do Sr. Antonio Brito que requer regime de urgência para
apreciação do PDL nº 94, de 2022.",Requerimento
147,Requerimento de Urgência (Art. 155 do RICD),Requerimento
148,"Redação Final assinada pelo Relator, Dep. Átila Lira (PP-PI).",Redação Final
149,Emenda do Senado nº 2,Emenda
150,"Emendas do Senado Federal nºs 1 a 4 ao Projeto de Lei de Conversão, ressalvados os destaques",Emenda
151,"Redação Final assinada pelo Relator, Dep. Paulo Bengtson (PTB-PA).",Redação Final
152,"Medida Provisória nº 1.081, de 2021, ressalvados os destaques",Medida Provisória
153,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
154,Requerimento.,Requerimento
155,Requerimento.,Requerimento
156,Requerimento.,Requerimento
157,"Redação Final assinada pelo Relator, Dep. Pedro Vilela (PSDB-AL).",Redação Final
158,"Subemenda Substitutiva Global ao Projeto de Lei nº 1.998, de 2020, adotada pelo Relator da Comissão de Seguridade Social e Família, ressalvados os destaques",Subemenda Substitutiva
159,"Redação Final assinada pelo Relator, Dep. Marx Beltrão (PP-AL).",Redação Final
160,Emendas de Redação n°s 1 e 3.,Emenda
161,"Projeto de Lei nº 4.576, de 2021, ressalvado o destaque",Projeto de Lei
162,"Redação Final assinada pelo Relator, Dep. João Roma (PL-BA).",Redação Final
163,"Subemenda Substitutiva Global ao Projeto de Lei de Conversão, adotada pelo Relator da Comissão Mista, ressalvados os destaques",Subemenda Substitutiva
164,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
165,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
166,"Redação Final assinada pelo Relator, Dep. General Peternelli (União-SP).",Redação Final
167,Emenda de Plenário nº 4,Emenda
168,Emenda de Plenário n° 6,Emenda
169,"Subemenda Substitutiva Global ao Projeto de Lei de Conversão, adotada pelo Relator da Comissão Mista, ressalvados os destaques",Subemenda Substitutiva
