,descricao,objeto
170,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
171,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
172,"Redação Final, assinada pelo Relator, Dep. Eduardo Cury (PSDB-SP).",Redação Final
173,Emenda da Comissão de Constituição e Justiça e de Cidadania.,Emenda
174,"Projeto de Decreto Legislativo nº 1.155, de 2018.",Projeto de Decreto Legislativo
175,"Redação Final, assinada pelo Relator, Dep. Eduardo Cury (PSDB-SP).",Redação Final
176,"Projeto de Decreto Legislativo nº 642, de 2017.",Projeto de Decreto Legislativo
177,"Redação Final, assinada pelo Relator, Dep. Alexandre Leite (União-SP).",Redação Final
178,"Projeto de Decreto Legislativo nº 604, de 2017.",Projeto de Decreto Legislativo
179,"Redação Final assinada pela Relatora, Dep. Carmen Zanotto (Cidadania-SC).",Redação Final
180,"Projeto de Lei nº 2.730, de 2020.",Projeto de Lei
181,"Redação Final assinada pelo Relator, Dep. Felipe Rigoni (União-ES).",Redação Final
182,"Subemenda Substitutiva Global ao Projeto de Lei nº 454, de 2022, adotada pelo Relator da Comissão de Ciência e Tecnologia, Comunicação e Informática, ressalvados os destaques.",Subemenda Substitutiva
183,"Redação Final assinada pelo Relator, Dep. Sidney Leite (PSD-AM).",Redação Final
184,Emenda de Plenário nº 6.,Emenda
185,Emenda de Plenário nº 5,Emenda
186,Emenda de Plenário nº 4,Emenda
187,"Medida Provisória nº 1.077 de 2021, na forma do Projeto de Lei de Conversão, ressalvados os destaques.",Medida Provisória
188,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
189,Requerimento,Requerimento
190,Requerimento,Requerimento
191,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
192,"Redação Final assinada pelo Relator, Dep. Átila Lira (PP-PI).",Redação Final
193,"Medida Provisória nº 1.075 de 2021, na forma do Projeto de Lei de Conversão, ressalvados os destaques.",Medida Provisória
194,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
195,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
196,"Redação Final assinada pelo Relator, Dep. Marco Bertaiolli (PSD-SP).",Redação Final
197,"Subemenda Substitutiva Global ao Projeto de Lei nº 3.188, de 2021, adotada pelo relator da Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços, ressalvados os destaques",Subemenda Substitutiva
198,"Redação Final assinada pelo Relator, Dep. Tiago Dimas (Pode-TO).",Redação Final
199,"Proposta de Emenda à Constituição n° 13, de 2021, ressalvados os destaques",Emenda
200,"Requerimento nº 514/2022, dos Senhores Líderes, que solicita a quebra do interstício de 5 sessões previsto no § 6º do art. 202 do RICD, para apreciação do segundo turno da PEC nº 13, de 2021.",Requerimento
201,Requerimento,Requerimento
202,"Proposta de Emenda à Constituição n° 13, de 2021, ressalvados os destaques",Emenda
203,"Requerimento nº 511/2022, que solicita a dispensa do interstício de duas sessões prevista no § 5º, do art. 202, do Regimento Interno, para apreciação do primeiro turno da Proposta de Emenda à Constituição nº 13, de 2021.",Emenda
204,"Requerimento nº 511/2022, que solicita a dispensa do interstício de duas sessões prevista no § 5º, do art. 202, do Regimento Interno, para apreciação do primeiro turno da Proposta de Emenda à Constituição nº 13, de 2021.",Emenda
205,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
206,"Redação Final assinada pelo Relator, Dep. Luiz Lima (PL-RJ).",Redação Final
207,"Subemenda Substitutiva Global ao Projeto de Lei nº 130, de 2015, adotada pelo Relator da Comissão do Esporte, ressalvados os destaques.",Subemenda Substitutiva
208,"Redação Final assinada pelo Relator, Dep. Hiran Gonçalves (PP-RR).",Redação Final
209,Emenda de Redação nº 2.,Emenda
210,"Projeto de Lei nº 10.592, de 2018.",Projeto de Lei
211,"Redação Final assinada pelo Relator, Dep. Bira do Pindaré (PSB-MA).",Redação Final
212,"Projeto de Lei nº 3.322, de 2021.",Projeto de Lei
213,"Redação Final assinada pelo relator, Dep. General Peternelli (União-SP).",Redação Final
214,"Proposta de Emenda à Constituição n° 517, de 2010, ressalvados os destaques",Emenda
215,"Requerimento nº 394, de 2022, que solicita a dispensa do interstício de 5 sessões prevista no § 6º, do art. 202, do Regimento Interno, para apreciação do segundo turno da Proposta de Emenda à Constituição nº 517, de 2010",Emenda
216,"Redação Final assinada pelo Relator, Dep. Aécio Neves (PSDB-MG).",Redação Final
217,"Projeto de Decreto Legislativo nº 25 de 2022, adotado pelo relator da Comissão de Relações Exteriores e de Defesa Nacional.",Projeto de Decreto Legislativo
218,Requerimento de Urgência (Art. 155 do RICD),Requerimento
219,"Redação Final assinada pela Relatora, Dep. Margarete Coelho (PP-PI).",Redação Final
220,"Proposta de Emenda à Constituição n° 18, de 2021",Emenda
221,"Requerimento nº 399/2022, dos Senhores Líderes, que solicita a quebra do interstício de 5 sessões previsto no § 6º do art. 202 do RICD, para apreciação do segundo turno da PEC nº 18, de 2021.",Requerimento
222,"Emenda de Redação, ressalvados os destaques",Emenda
223,pressiva,Outros
224,"Proposta de Emenda à Constituição nº 18, de 2021, ressalvados os destaques",Emenda
225,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
226,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
227,"Projeto de Lei 545, de 2022, ressalvado o destaque.",Projeto de Lei
228,"Redação Final assinada pelo Relator, Dep. Paulo Magalhães (PSD-BA).",Redação Final
229,"Substitutivo ao Projeto de Lei 3.320, de 2020, adotado pelo Relator da Comissão de Ciência e Tecnologia, Comunicação e Informática, ressalvados os destaques",Projeto de Lei
230,"Redação Final assinada pela relatora, Dep. Celina Leão (PP-DF).",Redação Final
231,"Subemenda Substitutiva Global adotada pela relatora da Comissão de Trabalho, de Administração e de Serviço Público ao Projeto de Lei nº 3.662, de 2021, ressalvado o destaque.",Subemenda Substitutiva
232,"Redação Final assinada pela Relatora, Dep. Aline Sleutjes (União-PR).",Redação Final
233,"Subemenda Substitutiva Global ao Projeto de Lei nº 5.516, de 2020, adotada pela Relatora da Comissão de Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços, ressalvados os destaques.",Subemenda Substitutiva
234,"Redação Final assinada pelo Relator, Dep. Diego Garcia (Republicanos-PR).",Redação Final
235,"Emenda do Senado Federal ao Projeto de Lei nº 400, de 2019.",Emenda
236,"Redação Final, assinada pelo Relator, Dep. Paulo Eduardo Martins (PSC-PR).",Redação Final
237,"Projeto de Decreto Legislativo nº 233, de 2021",Projeto de Decreto Legislativo
238,Requerimento de Urgência (Art. 155 do RICD),Requerimento
239,"Proposta de Emenda à Constituição n° 517, de 2010, ressalvado os destaques",Emenda
240,Redação Final assinada pelo Relator.,Redação Final
241,"Proposta de Emenda à Constituição nº 22, de 2011",Emenda
242,"Requerimento nº 390/2022, dos Senhores Líderes, que solicita a quebra do interstício de 5 sessões previsto no § 6º do art. 202 do RICD, para apreciação do segundo turno da PEC nº 22, de 2011.",Requerimento
243,"Requerimento nº 390/2022, dos Senhores Líderes, que solicita a quebra do interstício de 5 sessões previsto no § 6º do art. 202 do RICD, para apreciação do segundo turno da PEC nº 22, de 2011.",Requerimento
244,"Proposta de Emenda à Constituição n° 22, de 2011",Emenda
245,ferência,Outros
246,"querimento n. 319/2022 do Sr. André Fufuca que requer urgência para o Projeto de Lei nº 545/2022, que ""Dispõe sobre a arrecadação de recursos por entidades beneficentes de assistência social por meio de títulos de capitalização"".",Requerimento
247,Requerimento de urgência,Requerimento
248,"Redação Final assinada pelo Relator, Dep. Pompeo de Mattos (PDT-RS).",Redação Final
249,"igos 1º, 2º, 3º, 4º, 5º, 6º e 7º; o caput do artigo 8º; os incisos IV e V e o §1º do artigo 8º, os artigos 9º, 10 e 11 do Substitutivo do Senado Federal",Outros
250,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
251,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
252,Requerimento de Urgência (Art. 155 do RICD),Requerimento
253,"Redação Final, assinada pelo Relator, Dep. Filipe Barros (PSL-PR).",Redação Final
254,"Projeto de Decreto Legislativo nº 771, de 2019.",Projeto de Decreto Legislativo
255,"Redação Final, assinada pelo Relator, Dep. Filipe Barros (PSL-PR).",Redação Final
256,"Projeto de Decreto Legislativo nº 765, de 2019.",Projeto de Decreto Legislativo
257,"Redação Final, assinada pelo Relator, Dep. Eduardo Cury (PSDB-SP).",Redação Final
258,"Projeto de Decreto Legislativo nº 696, de 2019.",Projeto de Decreto Legislativo
259,"Redação Final assinada pelo Relator, Dep. Capitão Alberto Neto (PL-AM).",Redação Final
260,"Redação Final assinada pela Relatora, Dep. Professora Dorinha Seabra Rezende (UNIÃO-TO).",Redação Final
261,"Emenda do Senado Federal ao Projeto de Lei nº 5.091, de 2020.",Emenda
262,Requerimento de Urgência (Art. 155 do RICD),Requerimento
263,Requerimento de Urgência (Art. 155 do RICD),Requerimento
264,"Redação Final assinada pela Relatora, Dep. Celina Leão (PP - DF).",Redação Final
265,Emenda de Redação nº 1.,Emenda
266,"Subemenda Substitutiva Global ao Projeto de Lei 4.059, de 2021, adotada pela Relatora da Comissão de Ciência e Tecnologia, Comunicação e Informática, ressalvados os destaques",Subemenda Substitutiva
267,"Redação Final assinada pelo Relator, Dep. Capitão Alberto Neto (PL-AM).",Redação Final
268,Medida Provisória nº 1.073 de 2021.,Medida Provisória
269,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
270,"Redação Final assinada pelo Relator, Dep. Hiran Gonçalves (PP-RR).",Redação Final
271,"Substitutivo ao Projeto de Lei 4.491, de 2021, adotado pelo relator da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques.",Projeto de Lei
272,"Redação Final assinada pelo Relator, Dep. André Fufuca (PP-MA).",Redação Final
273,"Substitutivo ao Projeto de Lei 2.753, de 2021, adotado pelo Relator da Comissão de Seguridade Social e Família.",Projeto de Lei
274,"Redação Final assinada pela Relatora, Dep. Elcione Barbalho (MDB-PA).",Redação Final
275,Emendas de Redação nºs 1 e 2.,Emenda
276,"Projeto de Lei nº 1.529, de 2021, ressalvado o destaque.",Projeto de Lei
277,"Redação Final assinada pelo Relator, Dep. Dr. Jaziel (PL-CE).",Redação Final
278,"Substitutivo do Senado Federal ao Projeto de Lei Complementar nº 11, de 2020, com exceção dos §§ 6º e 7º do art. 6º, ressalvados os destaques",Projeto de Lei
279,"Redação Final assinada pelo Relator, Dep. Soraya Santos (PL-RJ).",Redação Final
280,"Proposta de Emenda à Constituição n° 162, de 2019, da Comissão Especial",Emenda
281,"Requerimento nº 248/2022, dos Senhores Líderes, que solicita a quebra do interstício de 5 sessões previsto no § 6º do art. 202 do RICD, para apreciação do segundo turno da PEC nº 162, de 2019.",Requerimento
282,Requerimento.,Requerimento
283,"Substitutivo à Proposta de Emenda à Constituição nº 162, de 2019, da Comissão Especial",Emenda
284,Requerimento.,Requerimento
285,Requerimento de Urgência (Art. 155 do RICD),Requerimento
286,"Redação Final assinada pela Relatora, Carmen Zanotto (Cidadania-SC).",Redação Final
287,"Substitutivo ao Projeto de Lei nº 4.171, de 2021, adotado pela Relatora da Comissão de Seguridade Social e Família.",Projeto de Lei
288,"Redação Final assinada pela Relatora, Lídice da Mata (PSB-BA).",Redação Final
289,"Substitutivo ao Projeto de Lei nº 4.875, de 2020, adotado pela Relatora da Comissão de Defesa dos Direitos da Mulher.",Projeto de Lei
290,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
291,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
292,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
293,"Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).",Redação Final
294,"Substitutivo ao Projeto de Lei 7.364, de 2014, adotado pela relatora da Comissão de Seguridade Social e Família.",Projeto de Lei
295,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
296,"Redação Final assinada pela Relatora, Dep. Celina Leão (PP-DF).",Redação Final
297,"Substitutivo ao Projeto de Lei nº 321, de 2021, adotado pela Relatora da Comissão de Defesa dos Direitos da Mulher.",Projeto de Lei
298,"Redação Final assinada pela Relatora, Dep. Flávia Morais (PDT-GO).",Redação Final
299,"Projeto de Lei Complementar nº 238, de 2016",Projeto de Lei
300,Requerimento.,Requerimento
301,"Redação Final assinada pela Relatora, Dep. Tabata Amaral (PSB-SP).",Redação Final
302,Emenda do Senado Federal nº 2.,Emenda
303,"Emendas do Senado Federal nºs 1, 2 e 3, com exceção da alínea 'c' do inciso I do artigo 8º da Lei 13.756, de 2018, contida na Emenda nº 1, ressalvado o destaque.",Emenda
304,Redação Final.,Redação Final
305,"Substitutivo ao Projeto de Lei 3.764, de 2004, da Comissão de Constituição e Justiça e de Cidadania.",Projeto de Lei
306,"Redação Final assinada pelo Relator, Dep. Subtenente Gonzaga (PDT-MG).",Redação Final
307,"Substitutivo ao Projeto de Lei nº 501, de 2019, da Comissão de Segurança Pública e Combate ao Crime Organizado.",Projeto de Lei
308,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
309,"Redação Final assinada pelo Relator, Dep. Diego Garcia (REPUBLICANOS-PR).",Redação Final
310,"Substitutivo ao Projeto de Lei nº 5.654, de 2016, da Comissão de Constituição e Justiça e de Cidadania.",Projeto de Lei
311,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
312,"Redação Final assinada pelo Relator, Dep. Celso Sabino (União-PA).",Redação Final
313,"Substitutivo ao Projeto de Lei 1.518, de 2021, adotado pelo relator da Comissão de Finanças e Tributação, ressalvado o destaque",Projeto de Lei
314,"Redação Final assinada pelo Relator, Dep. José Guimarães (PT-CE).",Redação Final
315,"Subemenda Substitutiva Global ao Projeto de Complementar nº 73, de 2021, adotada pelo Relator da Comissão de Cultura, ressalvados os Destaques",Subemenda Substitutiva
316,"Redação Final assinada pelo Relator, Dep. Felipe Carreras (PSB-PE).",Redação Final
317,Emenda de Redação nº 2.,Emenda
318,"Subemenda Substitutiva Global ao Projeto de Lei 442, de 1991, adotada pelo relator da Comissão Especial, ressalvados os Destaques",Subemenda Substitutiva
319,Requerimento de Urgência (Art. 155 do RICD),Requerimento
320,"Redação Final assinada pelo Relator, Dep. Neucimar Fraga (PSD-ES).",Redação Final
321,"Medida Provisória nº 1.072, de 2021, na forma do Projeto de Lei de Conversão, ressalvado o destaque",Medida Provisória
322,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
323,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
324,"Redação Final assinada pelo Relator, Dep. Alceu Moreira (MDB-RS).",Redação Final
325,"Proposta de Emenda à Constituição nº 39, de 2011, ressalvado o destaque",Emenda
326,"Requerimento nº 152/2022, dos Senhores Líderes, que solicita a quebra de interstício de 5 sessões previsto no § 6º do art. 202 do RICD, para apreciação do segundo turno da PEC 39, de 2011",Requerimento
327,Requerimento,Requerimento
328,Emenda de Redação nº 1,Emenda
329,"Substitutivo da Comissão Especial à Proposta de Emenda Constitucional nº 39, de 2011, ressalvados os destaques",Emenda
330,"Redação Final assinada pelo Relator, General Peternelli (PSL-SP).",Redação Final
331,"Subemenda Substitutiva Global ao Projeto de Lei nº 9.432, de 2017, adotada pelo Relator da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques.",Subemenda Substitutiva
332,"Redação Final assinada pelo Relator, Lafayette de Andrada (REPUBLICANOS-MG).",Redação Final
333,Emenda de Redação nº 1.,Emenda
334,Emenda de Plenário nº 14,Emenda
335,"Substitutivo ao Projeto de Lei nº 5.284, de 2020, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques.",Projeto de Lei
336,"Redação Final assinada pela Relatora, Dep. Greyce Elias (Avante-MG).",Redação Final
337,"Substitutivo do Senado Federal ao Projeto de Lei nº 976, de 2019.",Projeto de Lei
338,Requerimento de Urgência (Art. 155 do RICD),Requerimento
339,Requerimento de Urgência (Art. 155 do RICD),Requerimento
340,"Redação Final assinada pelo Relator, Dep. Acácio Favacho (Pros-AP).",Redação Final
341,"Proposta de Emenda à Constituição n° 32, de 2021",Emenda
342,Requerimento.,Requerimento
343,"Substitutivo à Proposta de Emenda à Constituição nº 32, de 2021, da Comissão Especial ",Emenda
344,"Redação Final assinada pelo relator, Dep. Roman (Patriota-PR).",Redação Final
345,Requerimento.,Requerimento
346,"Submenda Substitutiva Global ao Projeto de Lei nº 2.486, de 2021, adotada pelo relator da Comissão de Trabalho, de Administração e Serviço Público",Subemenda Substitutiva
347,Requerimento de Urgência (Art. 155 do RICD),Requerimento
348,Requerimento de Urgência (Art. 155 do RICD),Requerimento
349,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
350,"Substitutivo do Senado Federal ao Projeto de Lei nº 2.114, de 2019.",Projeto de Lei
351,"Redação Final assinada pela Relatora, Dep. Silvia Cristina (PDT-RO).",Redação Final
352,Emenda do Senado Federal nº 1,Emenda
353,"Emendas do Senado Federal nºs 1 e 2 (na parte em que altera o §8º do art. 10 da Lei nº 9.656, de 1998), ressalvados os destaques.",Emenda
354,"Redação Final assinada pelo Relator, Dep. Coronel Tadeu (PSL-SP).",Redação Final
355,"Medida Provisória nº 1.070, de 2021, na forma do Projeto de Lei de Conversão, ressalvados os destaques.",Medida Provisória
356,"Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
357,"Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",Parecer da Comissão Mista
358,"Redação Final assinada pelo relator, Dep. Luiz Nishimori (PL-PR).",Redação Final
359,"Subemenda Substitutiva Global ao Projeto de Lei 6.299, de 2002, adotada pelo relator da Comissão Especial, ressalvados os destaques",Subemenda Substitutiva
360,Requerimento de Urgência (Art. 155 do RICD),Requerimento
361,"Redação Final assinada pelo Relator, Dep. Aécio Neves (PSDB-MG).",Redação Final
362,"Projeto de Decreto Legislativo nº 25 de 2022, adotado pelo relator da Comissão de Relações Exteriores e de Defesa Nacional.",Projeto de Decreto Legislativo
363,Requerimento de Urgência (Art. 155 do RICD).,Requerimento
364,"Redação Final, assinada pelo Relator, Dep. Paulo Eduardo Martins (PSC-PR).",Redação Final
365,"Projeto de Decreto Legislativo nº 483, de 2021.",Projeto de Decreto Legislativo
366,"Redação Final assinada pelo Relator, Dep. Reinhold Stephanes Junior (PSD-PR).",Redação Final
367,"Projeto de Decreto Legislativo nº 385, de 2021.",Projeto de Decreto Legislativo
368,"Redação Final, assinada pelo Relator, Dep. Paulo Eduardo Martins (PSC-PR).",Redação Final
369,"Projeto de Decreto Legislativo nº 271, de 2021.",Projeto de Decreto Legislativo
370,"Redação Final assinada pelo Relator, Dep. Eduardo Cury (PSDB-SP).",Redação Final
371,"Projeto de Decreto Legislativo nº 256, de 2021.",Projeto de Decreto Legislativo
372,"Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).",Redação Final
373,Emenda do Senado Federal n° 5.,Emenda
374,Emenda do Senado Federal n° 2.,Emenda
375,"Emendas do Senado Federal nºs 1, 2, 4 e 5 ao Projeto de Lei nº 1.208, de 2021, ressalvados os destaques.",Emenda
